"target","pos","target_id","context"
"fought","v","t:ee3ae79fa51537558f48faa5fc5418eed445162b","Tibbets and his crew had exactly 43 seconds to get away before the bomb exploded. The Enola Gay climbed, and Tibbets fought to turn the plane in the air-bending, 155-degree the crews had been practicing off Tinian for months. He pushed off the dark glasses because he couldn't see to fly."
"front","n","t:726367c90cdb8456b47ec1d7e0828246475c474b","Dvorov was somewhere behind me, too, negotiating delicately through his patrons. Just in front of me, a massive thing slammed into the wall, sending up a cloud of granite dust. It slumped to the floor and I realized that it was a werewolf."
"gasped","v","t:d5994442798bf912744ccc90774e22eebd3ce55d","Her hands twitched and a drop of blood shook out, splashing on the crease of her thigh and hanging to one strand of the black hair between her legs. She gasped and the dark glow went out, taking the blood with it in a flash of heat and red steam. Isis collapsed on the fur, strings cut."
"get","v","t:51f4689eb15ae01455c907bb4c69729e05583f4f","However, as you know, the less cash outlay that we have right now the better. Lets wait and try to offset the amount we owe them with what they owe us - so I say wait until you get July and August done. What do you think the time frame is on this?"
"get","v","t:880327520ea0a408b30fe1cc79a3edd014489200","“Sure, babe. Come on, I don’t have to get fucked up every time we go out just to enjoy myself. Let’s not waste any more time.”"
"getting","v","t:e6db4dc37a84e26e9b43592d80f609a1ca23bd6e","A Russian accused of being in organized crime was arrested in Italy on Wednesday on an American complaint that he conspired to fix the pairs figure skating and ice dancing competitions at the recent Salt Lake Winter Olympics, which were dominated by the sport's judging scandals. The Russian, Alimzhan Tokhtakhounov, who was arrested by the Italian authorities at his resort home in Forte dei Marmi, appeared to have a singular motivation for rigging the competitions: getting a visa to return to France, where he once lived. The federal prosecutor in Manhattan alleged in a criminal complaint that Tokhtakhounov had conceived and directed a scheme with a second man alleged to be in the Russian mob and a member of the Russian Skating Federation to secure a gold medal for the top Russian pairs skaters and for the top French ice dancers, one of whom is a Russian."
"girl","n","t:60101bb41a134538a2f0eae1d8eaa82c12ced3cb","She turned to me with tired sympathy. “I didn’t see a girl with him. Hurry, though, and you might find him before he leaves.”"
"girl","n","t:0bca50d5e2993516ba7f15dcda1c436036568d6f","The light in the corners of my eyes rushed in, converging on the rosy glow around the stone, and for a moment I was blind. Then I opened my eyes again and saw a girl lying in the street. There was no sign of the stone."
"give","v","t:ca4e3956591adf5785af1ab9b630c88f76ee5f67","Someone woke him to say Gen. Hap Arnold, chief of the Army Air Forcesin Washington, was on the phone and asking for him. Arnold told Karnes, 'Tibbets is going to be landing in three to four hours, and I want to give him the Distinguished Service Cross, and it is your job to write up the explanation.' 'I had no idea how you wrote up an award."
"gives","v","t:edb2953401c630bdfdc13bf1525f12fbc8280324","It didn't seem like we had a lot of holes to fill. It's good, it gives us something we didn't have and we didn't lose much.' --It's because of Molina: The Angels felt they could part with Fabregas because of the play of catcher Jose Molina."
"glanced","v","t:64d526d17d3790df36dfb4a5038e1c9ae22b17c7","Shivers swept through her body, and Nepthys reached out to touch her but I stopped him. He glanced at me with honest concern, probably the first honest moment he’d shown me: ‘Is she all right?’ I didn’t know."
"go","v","t:09ebfa5992f5ab9081cb6065f04e9a3718322923","Again, I do not have all of the information for July and August, so I cannot give you any numbers. If I go by what is currently in the system as a guide, Pasadena would owe Enron a little over $1 mil. I need to forecast the money today, so please let me know what you would like to do."
"going","v","t:a8f5841e93c29e3d2cef78da5c61eb197dee68d8","Grande dame of cooking still going strong at 90: Julia Child celebrates in San Francisco BY KAROLA SAEKEL c. 2002 The San Francisco Chronicle SAN FRANCISCO -- How does it feel to turn 90 and have attained the status of an icon, a living legend?"
"got","v","t:c1991b5a20c9a8b457cc17bf2f6ef05edbf3d5e6","I'd never written up any award,' Karnes said. 'So I got all of my sergeants out, and they're all digging through their (books.)' When an unsuspecting Tibbets descended from the Enola Gay on Tinian, he barely managed to palm his pipe as Gen. Carl Spaatz, commander of the Strategic Air Forces, stepped forward to pin the medal on his bomb flight coveralls."
"got","v","t:daac526d31c8a7df999f00861d2797b7307bac5a","You got the sucker already?” “No, but we got a tip that he might be in your club. Have you seen him?”"
"government","n","t:362589f6dcbed638ce792b0cf7f41f794038dcef","Electronic theft by foreign and industrial spies and disgruntled employees is costing U.S. companies billions and eroding their international competitive advantage. That was the message delivered by government and private security experts at an all-day conference on corporate electronic espionage. 'Hostile and even friendly nations routinely steal information from U.S. companies and share it with their own companies,' said Noel D. Matchett, a former staffer at the federal National Security Agency and now president of Information Security Inc., Silver Spring, Md."
"grabbed","v","t:76db47f2c62cf21fd2173b94da729ffc3637c2d4","You look ridiculous with a shaved head.” At a nearby stand, he grabbed the first hat that would cover my head and might pass back in real Boston. It was a black baseball cap that read “Dead Can Dance” in gold across the front."
"guy","n","t:7b3b74b10226160a9816bbdf9d7438afebc32638","The answer is no. He accepts his role with a club and he's a team guy. He's got that reputation and that's important to us, especially a club like ours that is an egoless club.'"
"hair","n","t:c02357a6a9cc39abd21df4493140ea81e0e811f5","He stood in front of a blue light, so I couldn’t see him clearly, but what I saw was memorable. He wore a jacket of what might have been blue velvet, and his hair gleamed black against his white skin. The blue haze seemed to stop just shy of his pallor, setting off his striking face without illuminating its details, and his wrists flashed white in the darkness."
"hands","n","t:ca511f67f1042121d2d875e18023b37dd979f387","The vampire was walking just steps ahead of me. I stepped up behind him and raised my hands, which almost seemed to be glowing. Then the stake came down into his back and one, two, three strikes with the hammer drove it in."
"happen","v","t:d85b8b04c3f59ba4b7ed3f733e85360949c84d49","Karnes was Tibbets' adjutant, the man in charge of writing the orders and cajoling the transfer to the unit of servicemen proficient in bombing, mechanics, ordnance, engineering and communications. Tibbets picked the names, and Karnes made it happen. Tibbets hated paperwork."
"happened","v","t:96dbe7af1fdde444e8702559d2f2ce997ac2c20c","It came in through my mother's blood; my Russian grandmother would always tell me stories, bylichkas, of ancestors with the 'second sight', stupid mill owners who discovered bags of gold after letting a special fish off their hooks, and dark strangers who used to appear to help or interfere at crucial times. When I asked her if she'd ever seen them – before I was old enough to stop believing, I mean – she would always look sad and tell me, 'No, not since the family came to America has anything happened to us. But if you ever should see a faerie, tell him that you are of the blood of Ivan Bogatyrivitch and he will not pass you by so quickly.'"
"head","n","t:5c8a0dea241d64b962c109b642bbdabe1134d59e","This story might be interesting. Does it have anything to do with why your head is shaved?” “It was part of the price for this girl, who was a rock at the time,” explained Nepthys."
"heading","v","t:e64bb8762223c25ee13a81ebeec272952b4270ec","I danced with Rachel for a while, but then something by the bar seemed to be pulling her eyes. She told me that she was heading for a drink and slipped out of the crowd. When she hadn’t come back halfway through the next song, I glanced over at the bar."
"health","n","t:75908b558dc7ff207e5d7026e98ba5bf66941301","William C. Walbrecher Jr., an executive at San Francisco-based 1st Nationwide Bank, was named president and chief executive officer of Citadel Holding Corp. and its principal operating unit, Fidelity Federal Bank. The appointment takes effect Nov. 13. He succeeds James A. Taylor, who stepped down as chairman, president and chief executive in March for health reasons. Edward L. Kane succeeded Mr. Taylor as chairman."
"heard","v","t:efbab007aaea04724e35923facebd773d420890b","I must have fallen to the floor then. I could perceive Nepthys’ sword flashing over me, and I heard steel crack, then bone. I thought I heard Rachel’s voice blearily calling for me."
"hearings","n","t:a727483f3358e364b40c20a0ac17f9d450ba5fe6","He said that Tokhtakhounov 'reached out to a co-conspirator, somebody connected to the Russian Skating Federation, who did the legwork for him.' Maxwell Miller, Le Gougne's lawyer in Salt Lake City, said no evidence of organized crime influence came up in her suspension hearings before the ISU 'I think this situation vindicates the argument that we've made all along,' he said. 'She's a scapegoat and a target of a corrupt system and was unfairly singled out.'"
"heat","n","t:258bb6fb3374aa978bcd0a09076156a8dda02b86","I pulled my T-shirt’s sleeves down my arms as far as they’d go, but I wasn’t ready for cold. Walking didn’t build up much heat; it just moved the air enough to chill me more. After I’d walked about a block, a car rolled up behind me."
"help","v","t:a6e5222e85b215a0f287d9ff1d3517646fd59e33","She didn’t come home last night, none of her friends have seen her. …Sir, if she’s in any danger, it will probably be too late to help her by that time. My girlfriend has disappeared, I don’t even know where to start looking, and I need help!"
"here","r","t:1eafacfed5fe8dbefb19aca890111625c2068216","As we headed down the sidewalk, I said, “What is your name, anyway?” “That’s a question you learn not to ask here. What you may call me is Nepthys.”"
"here","r","t:f3e62fb50273b9a86b0fbf95173397dda9fd451f","Walking outside, I was shocked to see that it was already dark. “Night comes quickly here,” said Nepthys quietly as he came out behind me. “Didn’t I warn you?”"
"high","a","t:00cad5b9df37afc2469f5200610d9315f972533b","The new plant is part of IBM's push to gain a strong lead in chip-making beyond the personal computer business, where Intel and East Asian chip producers hold the advantage. 'The core of our strategy is to lead in technology and attack the high-performance segments of the market,' said John Kelly, senior vice president in charge of IBM's technology group. An advantage to having the semiconductor fabricating factory here, Kelly explained, was that it was very close to its research laboratories in nearby Westchester County, N.Y. To stay ahead in advanced chip technology, he said, moving innovations out of the labs and into the factory as fast as possible is crucial."
"hire","v","t:714c491727ba4d95ab0293cd482f93e58623e26e","Sony is paying $27 a share, or $3.55 billion, cash and is assuming $1.4 billion of long-term debt. Still unresolved is Sony's effort to hire producers Jon Peters and Peter Guber to run the studio. Sony's planned acquisition of Guber/Peters Entertainment Co. for $200 million is scheduled to close Monday."
"hissed","v","t:96648c41577d2c2db4d77af743f9a01a74dc0c91","I imagine that people do not come here for unimportant reasons.” It hissed thoughtfully. “True, true."
"history","n","t:019b320771914abe879edf04eb3d7af26cf90823","And the first person he chose to join him was Karnes, though he couldn't reveal the mission to Karnes. Karnes, 87, is a retired history professor who lives in suburban Austin with his wife, Virginia, who also worked for the 509th as a civilian bookkeeper for six months. Karnes was Tibbets' adjutant, the man in charge of writing the orders and cajoling the transfer to the unit of servicemen proficient in bombing, mechanics, ordnance, engineering and communications."
"idea","n","t:cf397659ecc01c0eb1eec986d11684fb31f265cb","“Don’t do this, kid! It’s a dumb idea. Even if you did find this vampire cat, he’d tear you apart!"
"identify","v","t:dc0a4b13c04635ba1f1f32190f8d5772ffb6ae9d","“Sorry, kid. –Would you do us the kindness of helping us to identify an individual?” “Wait, Nepthys – you said nothing about vampires."
"idiots","n","t:9384405ccca6b6cf27506667480aaaf3fc1f46fe","he screamed. “You idiots! You woke it up?"
"inadequate","a","t:1f63c747dd0aa751ae0c479686a4501122282da0","They believe that if prescriptive authority becomes the norm, biomedical requirements will inevitably seep into the psychology curriculum, at the expense of traditional psychological science and methodology. Lilienfeld feels that many clinical psychologists already receive inadequate training in fundamentals such as research design and evaluation. RxP opponents charge the APA with pushing its prescription-privileges agenda without adequately assessing support for it in the field."
"indicate","v","t:e432c499c41fbf3c8c5f47754b7aeaa7c2262cc8","' The conversations seem to indicate a familiarity between Tokhtakhounov and Anissina. Tass, the official Russian news agency, reported that Anissina attended a ceremony in 1999 at a Paris hotel honoring Tokhtakhounov for his philanthropy."
"innocent","a","t:b5fe3274c71cc01d03995602a44e8bc44da997bc","A U.S. lawmaker assessing the impact of U.N. sanctions on Iraq said Wednesday it is important not only to force Baghdad to give up its weapons of mass destruction but also to do more to ease the hardships on ordinary Iraqis. Rep. Tony Hall, D-Ohio, did not call for a lifting of sanctions imposed on Iraq for its 1990 invasion of Kuwait, but said the United Nations should make sure that sanctions do not hurt innocent Iraqis. 'It was very, very important' to compel Iraq to rid itself of weapons of mass destruction so that 'it cannot use or export them to other countries,' he told Associated Press Television News."
"interest","n","t:3bcc6b62f945c77128a156239eb75bbd633a1b81","Another 15 percent to 18 percent are 'overexploited,' and 9 percent to 10 percent have been 'depleted or are recovering from depletion.' The seafood industry is less than thrilled about this surge of interest in ocean ecosystems from people who are not scientists. Fisheries management is best left to the experts, said Thor Lassen, president of Ocean Trust, a research and conservation foundation partly financed by the fishing industry."
"interesting","a","t:b57ab620422341c6979f105805e94ecd2b4fdc56","“You’ve lost blood, boy? This story might be interesting. Does it have anything to do with why your head is shaved?”"
"investments","n","t:4c3a6c95442fe90941c38c7937cdf606fbfa678a","He praised IBM for being 'a critical partner in our economic development efforts' in New York state. In a brief speech, Samuel J. Palmisano, IBM's chief executive, emphasized that it was important to make long-term investments despite the current slump in the technology business. 'To play to win in technology, you innovate and you lead,' he said."
"island","n","t:a4bc100d1f2cfb38e593bc6a5ce39cbb5c4617ee","Tinian Island had been captured from Japan, and the Seabees, the construction arm of the Navy, had built two large airfields. The 509th took North Field and stayed in relative isolation from other B-29 units on the island. Karnes handed out bunk assignments, choosing the mess officer, Chuck Perry, to share his tent."
"jealous","a","t:7d1684d2fa4b7c7d6736cd557c6a1ceea9e806bb","Karnes had his own Jeep, and went to the beach and to evening movies shown by other units as often as he could. But at the movies, he had to remove the distributor cap on his Jeep so the vehicle wouldn't be stolen, perhaps by jealous airmen who resented the 509th. Not until the day before Tibbets and his crew flew to Hiroshima was the 509th told what was happening."
"join","v","t:0d3744de8d6913df9b1eef59f699fe596a6ec551","He's got that reputation and that's important to us, especially a club like ours that is an egoless club.' Ochoa will join the club today in Anaheim before tonight's game against the Yankees. He said he's fine with his role as a reserve outfielder and pinch hitter."
"just","r","t:d1a917286948c4f8e70a571cf85384b11489bfa5","The blue haze seemed to stop just shy of his pallor, setting off his striking face without illuminating its details, and his wrists flashed white in the darkness. He didn’t move, just stared and held his drink. The next time I saw them, his mouth was moving."
"just","r","t:ff500f9daaa1a9f73e79011709fed15a58f92120","“No thanks, sir! I’m just fine. Really, don’t worry about me.”"
"kid","n","t:78aa1e4fb39ef1caf645b3f1d813b13369b078e4","I turned to keep going, but he caught my arm again. “Don’t do this, kid! It’s a dumb idea."
"kind","n","t:931be7b0a20eb2852c7b412194c62b4dd132f6b9","“May I invite you to have a cup of tea?” “No, thank you,” said Nepthys, “we regret that we cannot take up your kind offer. Are you the proprietor of this shop?” “Yes,” answered the woman."
"knock","v","t:f1b4bddd0d03483974d2131d4f768fce05874c74","Suddenly, Amy screamed. I whirled around and threw up my arm just in time to knock Dvorov away. His eyes were glowing red, and he had bared a set of fangs that could probably take my hand off."
"know","v","t:064e8bfbf29ae554af9041ec402f1b8b911421c9","'For me, it's very difficult to be certain that the information which is given to me is real,' said Eric Ripert, chef at Le Bernardin, a four-star seafood restaurant in Manhattan. 'I don't know. I don't have enough information to know, for example, if Chilean seabass is really disappearing or if it's political pressure.'"
"know","v","t:3d53d8269c2321d90ecbe2a0b4fca2e297857de6","'Let me just say that three years ago when we scheduled that game, I was feeling pretty good about it,' Johnson said. 'They're seasoned, they know how to win and we're going to have to deal with that. They're going to be tough to beat'"
"know","v","t:ef7d1557fa022af6969d43674ec4bf8224eb7abc","One wrong word and you find yourself cursed with infinite earwax or something. So what else do you want to know, Nathan?” “I don’t know …hey, what about the nature spirits, things like that?"
"know","v","t:4b1cb66a0c62976b5091e7f14d197efd891eea5b","“I think that the person who stole the girl we’re looking for might be a vampire. Isis …you know some way to locate the undead, don’t you?” “I do."
"know","v","t:f083d19eb68bc682b6c164daf005b6002b2884fe","“I’m in the car. Now, will you tell me how you know my family, and how you happened to be driving by just now? In fact, why didn’t you call me by name the first time?"
"knows","v","t:47fa40febfc00e5efc77a5ade8c01cf915c06aee","'We were convinced then, and I still am, that we ended the war a year or two earlier. And what the casualties would have been, who knows -- but heavy.' 'On Tinian, and probably elsewhere, the Seabees were building enormous hospitals while we were there,' he said."
"later","r","t:f7e8031010bad87cda5d68cf7f7b2c0ab8e81887","She later recanted and said that Canadian officials had pressured her. The ISU later suspended Le Gougne and Gailhaguet for three years. The federal complaint did not describe the possibility of a wider conspiracy or any contact between Tokhtakhounov, or his unnamed co-conspirators, with Le Gougne."
"laughing","v","t:d96440d06214fb85bff2b5f4cba3307c8d1e042f","In a few minutes, we were getting out a block down from the abandoned church. After she paid the driver, she grabbed my arm, laughing, and we ran down the street. I heard the pulse already."
"lead","v","t:b8cf411d77fe6bde40b851f6b4ade4a828be9163","A twitch of her fingers summoned her pale servants. “One of these will lead you out.” I stood, and one of her servants took me and Amy to the door."
"leech","n","t:88a0d6d8c2b3232c5a5fc9161ae4c219150d30c4","“Roll up your sleeves,” she told me. She opened the bowl and carefully, gingerly brought out a fat, dripping leech. It must have been larger than my finger."
"leeches","n","t:e7434e02d665e8ad98e340969121078c803eecfb","“Thank you for doing business at our house, and I hope to see you again!” I left not a little unnerved, and still woozy from the leeches. “Come on,” said Nepthys, “you could use a drink.”"
"let","v","t:7ccc60eba979a36c831187b25822449ffe53ed5e","We haven't totally forgotten about it, but we're looking forward to this upcoming season. And to play well this season, we have to let last season go.' Mirror image: Ole Miss coach David Cutcliffe said that tempo is the only difference between quarterback Eli Manning and his brother Peyton, who played for Cutcliffe at Tennessee."
"life","n","t:f6fb63f74865adcb79fbe237d77d369f6bcbd130","Nevertheless, she gave me what I can only describe as an “appraising glance”. I have never felt so appraised in all my life. “He looks healthy,” she said, “how about a pint of his blood?”"
"lifeless","a","t:168480d1e3908c6f1cde94525614593d739ede7f","Taste, hearing and touch became a single blur, and I do not know if my eyes were open. My mind began to dissipate, but then I felt the pain withdraw and a lifeless voice said, “This one’s blood isn’t worth drinking.” Hands closed on my neck and I felt my spine crack."
"light","a","t:4d19ec007cf89c722c5ac7fb5206ff935af8eeeb","He took another shot of vodka. “Shouldn’t you be going light on the vodka? I mean, we might have a lot of work ahead of us.”"
"liked","v","t:1c89ddc5376c60860ac3f4239e394b2d6e0d5dca","'I feel bad for Jorge, he's a good friend of mine,' Bengie said. 'But they liked the way (Jose) has played and they're giving him a chance. I'm very excited we'll be on the same team for a while.'"
"liked","v","t:10d0416a9f0444b0792663bfd0243949c98b8381","Tibbets instantly liked the isolation and vast size of Wendover and the surrounding Bonneville Salt Flats. And he immediately liked Karnes, who showed him around the base. In Karnes, Tibbets found a kindred spirit -- and a handball partner."
"lists","n","t:d847418895eea710525e89866153d96a41c785a0","Rod Moore, executive director of the West Coast Seafood Processors Association, suggests that activists with an agenda are manipulating chefs and retailers. The conservation groups providing information to chefs and retailers and lists of environmentally appropriate seafoods to consumers are the same groups working to affect fisheries management on the political and regulatory level, Moore said. That's simply good strategy, said James Leape, deputy director of the conservation program for the David and Lucile Packard Foundation in Los Altos, Calif."
"little","a","t:b0897d645405c7ac24a57f6f6b3f312df52d9a91","I nodded. “A little walking should get the stuff into your system. Come on, let’s go.”"
"little","a","t:ab32729f2ef1c29f8c1202ef592bd09070506102","“I think that our world is a reflection of yours, or yours is a more boring reflection of ours. This place is just a little of both. In America, things are still weird after the European conquest."
"lives","v","t:64736f6cda15d8fd0b833ab2fbd53a2f4018abec","Next week marks the 57th anniversary of the atomic bombings. As always, Karnes' mind will drift to memories of his good friend Tibbets, 87, who lives in Columbus, Ohio. Each year on Aug. 6, 'I always think of Paul Tibbets and how he handled unbelievable responsibility,' Karnes said."
"logical","a","t:99ba7346e0a018ab675c6d53fdae043e83f1ba98","Intending to ease consumer access to mental health care, New Mexico legislators in March passed a law allowing psychologists to prescribe psychotropic medications, such as antidepressants. The state's action, the first in the nation, has the blessing of the American Psychological Association (APA), which considers prescriptive authority a logical extension of psychologists' role as health-care providers. But powerful groups, including the American Medical Association, oppose the idea and have a surprising source of support: psychologists themselves, some of whom call it a radical experiment and fear that the most likely victim will be the science of psychology."
"long","a","t:6b09dabfdf3e621e4ec33f7de1ab992fa7d198ee","The man looked over forty, and he was driving a car I’d be afraid to drive on this street. “It’s a long way to anywhere worth going,” he said."
"look","v","t:7be7d44d22e405dd34e8a3e4381be22a9c5be74b","Now, can we get going?” I caught my breath and forced myself to look him in the eye. “Only if you stop beginning every sentence with my name.”"
"look","v","t:e9e857fd11ab36846727a2e1aba385a29bb887f7","“I found your vampire,” she said, “but he might know that someone’s looking for him. He’s taken great pains to keep himself hidden. You should look for him at Dvorov’s as quickly as you can.” She turned to me with tired sympathy."
"looked","v","t:1704c5ba1bd128b0844f170942a71f5fff6eed7c","I stood, and one of her servants took me and Amy to the door. I looked back to see Nepthys whispering something to her. He stood to go, but she caught his sleeve and pulled him back for a moment."
"looked","v","t:7538404746b6675dec498f625947657decd6b88d","“Amy.” Nepthys looked at me incredulously. “You awaken a magical being of unknown power from an enchanted stone, having purchased her with your own blood from a slave dealer, and you name her ‘Amy’?”"
"lot","n","t:266ff9ab06b06e15b0322e0a5111e91a3bf35672","“Shouldn’t you be going light on the vodka? I mean, we might have a lot of work ahead of us.” “Are you kidding?"
"man","n","t:0a1f32670ea22fd21723dc603dceaac564c5e439","Who knows how long he’ll stick around?” “Listen, man, he’s not there! I’m telling you, it’s not even worth checking the bar!”"
"marvel","v","t:d2ccecda1186f62d7d69487536802806a5d454bd","In its center, under a spearing, white light, was a golden table draped with a blue velvet cloth, on which lay a gray, plum-sized rock. “A marvel, isn’t it?” she said."
"master","n","t:fa28d65d8b0c624658a556431ee15cfa992ca224","So they’re probably worse than we think, okay, that’s great. Now can you tell me what your master plan of attack will be before we go spinning counterclockwise into an Anne Rice novel?” “My plan is that you shut up while we’re trying to conduct business with someone who might be able to tell us what we’re actually going up against."
"mean","v","t:9da8404ac7e2811b209fb9601906869a8b1b823f","If – ” “You know what I mean. Please, if we could see him, we would be much obliged."
"mean","v","t:9eb146779082eb1a26bd724fdeb9231fdbd085b4","“Hey,” I said, “are you sure that we should be going this way? I mean – ” “Just ignore that,” he told me."
"mean","v","t:694b0e88de1e927c3bd980492d1daf7cfe063de1","“I don’t know …hey, what about the nature spirits, things like that? I mean, where do the dryads fit in a place like this?” “If the tree isn’t around, the dryad isn’t around."
"meat","n","t:748f6d2fea337ca8c5979045fecd99b427a42c07","Julia Child doesn't have much use for fads and trends -- never has. She never subscribed to cuisine minceur, cholesterol-free cooking, meat-free meal plans, organic food or any of the other politically correct trends of different times -- and that includes restricted diets, in spades. However, an active woman all her life, she is aware of the need to keep ones weight and fitness in mind."
"memorable","a","t:9090ed7d264ba1acdc957a4bfffd5dd162156fc3","The next time the crowd split, I saw him. He stood in front of a blue light, so I couldn’t see him clearly, but what I saw was memorable. He wore a jacket of what might have been blue velvet, and his hair gleamed black against his white skin."
"men","n","t:8cdb1ec24688a2081312c8bc44ff34d031f73b9c","Karnes arrived on Tinian on May 18, 1945, as part of an advance team that flew in the five C-54 transport planes of the 509th. On May 29, 1,200 men arrived on the troopship Cape Victory after a five-week trip from Seattle. Tinian Island had been captured from Japan, and the Seabees, the construction arm of the Navy, had built two large airfields."
"mind","n","t:942d74a194259df6324e31bc0e365f2f5b7260da","She never subscribed to cuisine minceur, cholesterol-free cooking, meat-free meal plans, organic food or any of the other politically correct trends of different times -- and that includes restricted diets, in spades. However, an active woman all her life, she is aware of the need to keep ones weight and fitness in mind. Here are her personal rules for achieving these goals:"
"mine","n","t:1128cce4f3d9d5a86a44eeb0e5af81691f2c3e33","I can only answer one question at a time. I know your family because an ancestor of mine made a bargain with an ancestor of yours. I am here now because you called for help, and no-one else would answer.”"
"minute","n","t:fba732c894aa29eacbc7e824a542d1634561c233","He downed the second shot. “I am glad to be out of the favor-trading scene for half a minute. It’s exhausting to talk to those people."
"monitored","v","t:8fcbc6b014dcfb45d62813570003d98669b7bd7e","Karnes hated to pry, and skimmed over personal portions of the letters. Phone calls were monitored. An undercover force of Manhattan Project security agents infiltrated the base and bars in the little town of Wendover (population 103) to spy on airmen."
"more","a","t:0f0e15a486875d9f74c66e143d1990b654b6e198","IBM is an exception among computer makers in that it still invests heavily in research to advance the design, manufacture and materials used in semiconductor chips. It is spending more than $500 million a year on semiconductor research and development. The factory will produce a wide range of specialized semiconductors used in everything from the largest mainframe computers to cell phones and video-game consoles."
"moving","n","t:b3ca17b9f6e9e50e0d4308c5224e5c4733a3156c","There’s no time to waste.” He saw that I wasn’t moving. Setting an arm on my shoulder, he said, “Nathan, what you see here might be frightening, but those things you saw are people just like you."
"much","r","t:1f598073537ef9570f7e65919a76d72e07925389","Get out of my sight now – unless you know how to put it back? …I thought as much. Now leave, before I call the rats on you.”"
"name","n","t:2e6f33faeea67f74226b0f01e7044f9ab73e612e","I caught my breath and forced myself to look him in the eye. “Only if you stop beginning every sentence with my name.” “You’ve got a deal."
"named","v","t:a724fadd9f4a76b633f64b8dac1886a11ecb0655","Still, encrypting corporate communications is only a partial remedy. One expert, whose job is so politically sensitive that he spoke on condition that he wouldn't be named or quoted, said the expected influx of East European refugees over the next few years will greatly increase the chances of computer-maintenance workers, for example, doubling as foreign spies. Moreover, he said, technology now exists for stealing corporate secrets after they've been 'erased' from a computer's memory."
"need","v","t:1dc899b357317b86b86e7583e48de0493d54c5f2","I can send you to a guy who knows all about them, though. If this cat’s for real, I bet my friend can tell you everything you need to know.” “You’re a wonder, Dvorov."
"need","v","t:fce5d414342fb4c8c06840dea82a62893c58d409","I heard an automatic window roll down. “Hey,” said a male voice, “do you need some help?” I turned around."
"new","a","t:4cf2e6f1e672ac24e4f8e2b55fac2e70a885b7ed","Karnes was the personnel and classification officer. He was only a captain, but he had been left in charge at Wendover the day Tibbets surprised them by landing a B-29, a new plane no one at Wendover had seen. Tibbets had just been ordered to organize a combat force to drop a bomb being developed by a secret enterprise known as the Manhattan Project."
"next","a","t:d8285580c149748e89378fb062edd3c0f5ea98ee","He didn’t move, just stared and held his drink. The next time I saw them, his mouth was moving. She nodded and he took her arm."
"next","a","t:696c40a260a504db0c7d4ea8926735d11069cbbb","She told me that she was heading for a drink and slipped out of the crowd. When she hadn’t come back halfway through the next song, I glanced over at the bar. It was just a little set-up where someone had stacked a few crates and brought something alcoholic to share, mostly beer."
"next","a","t:0b5d22864f39aa327bef97848a898de6b0445600","That means her entertaining has been curtailed, even though she still has an active social life with the many friends the Childs made during 22 winters spent in Santa Barbara. She will have reunions of sorts with her famous kitchen in the next few weeks. One of its Peg-Board walls was dismantled and reinstalled at COPIA; the rest went to Washington, D.C., and the Behring Center of the Smithsonian Institution's National Museum of American History."
"nice","a","t:060607172a02b2a86e189b33c9d881745eab2de4","SEASON Bitter melons can be found in Asian and specialty produce markets primarily from spring through late fall. Right now, some particularly nice ones are in Bay Area farmers' markets. HOW TO SELECT As the gourd ripens, its color changes from near white-pale green to vivid green, often flecked with yellow, and eventually bright orange."
"night","n","t:413284b6fe5831bd662946b5a0790070674dc676","You wouldn't believe half of the shit I've seen, even when I was straight. It was a Friday night. Rachel and I went out to dinner, and when we finished, she saw that there was a message on her cell phone."
"nose","n","t:395ad468a4f348284dc0bcf62f5a1b9dbcc791e0","Its arms were thin and long enough to reach any herbs from its cushion in the center of the cart, and with its long, many-shouldered pole of a torso, it rose over our heads even while seated. Its face was small and wrinkled, with penny-sized smoked glasses balanced on its thin nose. “Would the gentlemen care to purchase some fine herbs?”"
"noticed","v","t:393b5e20d9ea7262d073305f6fb49c8d64f9c810","Somewhere toward the center of the dance floor, I heard a howl that sent bitter winds under my clothing – for a second, I was back with my family in Russia, hiding from the cold. Then I felt a tug on the back of my shirt and noticed that Amy was following me. I gathered her under my arm."
"now","r","t:9b68ce707e7a0df35613253d95e20c66e9df14b8","Fools! Get out of my sight now – unless you know how to put it back? …I thought as much."
"now","r","t:254d93d0f08d6563ab3e0b32721db8ee3cc57132","That was the message delivered by government and private security experts at an all-day conference on corporate electronic espionage. 'Hostile and even friendly nations routinely steal information from U.S. companies and share it with their own companies,' said Noel D. Matchett, a former staffer at the federal National Security Agency and now president of Information Security Inc., Silver Spring, Md. It 'may well be' that theft of business data is 'as serious a strategic threat to national security' as it is a threat to the survival of victimized U.S. firms, said Michelle Van Cleave, the White House's assistant director for National Security Affairs."
"occasional","a","t:01b281a9485806bf14802a60abe6195ea3f963df","As she brought out the key, she said, “We deal mostly in fairly mundane trades, but there are a few customers with more unusual needs and people willing to sell unusual items. We’ve had genies, indentured sorcerers, even golems and the occasional elf. This is one of the stranger items, though."
"odd","a","t:ecbf85b0f96b028e65b189751b9f91b2e213a6b0","“Anyway, long time, man.” “That’s odd. Do you mind if we check it out anyway?"
